"CNPJ ENTIDADE";"NOME ENTIDADE";"NÚMERO CONVÊNIO";"ÓRGÃO CONCEDENTE";"MOTIVO DO IMPEDIMENTO"
"04673309000101";"ASSOCIACAO DE MORADORES AGROEXTRATIVISTA DA COMUNIDADE DA PONTA DO CAMPO, LAGO DO CAPANA GRANDE";"488287";"MINISTERIO DO MEIO AMBIENTE - UNIDADES COM VÍNCULO DIRETO";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"03652447000133";"FUNDACAO UNIVERSITARIA DE APOIO INTEGRAL AO SER";"500726";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"05543350000118";"FEDERACAO DAS ORGANIZACOES INDIGENAS DO RIO NEGRO";"735708";"PRESIDENCIA DA REPUBLICA";"MOTIVO NÃO ESPECIFICADO"
"07326941000169";"ISA - INSTITUTO SOLID' ART GESTAO PROFISSIONAL CULTURAL TURISMO E AMBIENTAL";"738470";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"05005694000173";"CENTRO CULTURAL INTERNACIONAL - INTERCULT - BSB";"708864";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"07054515000113";"INSTITUTO BRASILEIRO DE DESENVOLVIMENTO DE INFRAESTRUTURA SUSTENTAVEL";"746753";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"07326941000169";"ISA - INSTITUTO SOLID' ART GESTAO PROFISSIONAL CULTURAL TURISMO E AMBIENTAL";"738442";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"03638124000195";"CENTRO ATIVO DE PROGRAMAS SOCIAIS";"721774";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"07326941000169";"ISA - INSTITUTO SOLID' ART GESTAO PROFISSIONAL CULTURAL TURISMO E AMBIENTAL";"739379";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"07054515000113";"INSTITUTO BRASILEIRO DE DESENVOLVIMENTO DE INFRAESTRUTURA SUSTENTAVEL";"721084";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"02549769000199";"NUCLEO DE PESQUISA E CONSERVACAO DA FAUNA E FLORA SILVESTRE";"798324";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"03638124000195";"CENTRO ATIVO DE PROGRAMAS SOCIAIS";"721774";"";"MOTIVO NÃO ESPECIFICADO"
"04367002000174";"FUNDACAO NATUREZA";"710612";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"03603739000186";"SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC";"728942";"MINISTERIO DO TRABALHO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"05543350000118";"FEDERACAO DAS ORGANIZACOES INDIGENAS DO RIO NEGRO";"728371";"PRESIDENCIA DA REPUBLICA";"MOTIVO NÃO ESPECIFICADO"
"03603739000186";"SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC";"728942";"";"MOTIVO NÃO ESPECIFICADO"
"04437896000121";"FEDERERACAO DESPORTIVA DE CAPOEIRA DO DISTRITO FEDERAL";"708758";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"07054515000113";"INSTITUTO BRASILEIRO DE DESENVOLVIMENTO DE INFRAESTRUTURA SUSTENTAVEL";"718467";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"06132368000190";"INSTITUTO MAGNA MATER";"703558";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"04367002000174";"FUNDACAO NATUREZA";"710612";"";"MOTIVO NÃO ESPECIFICADO"
"02384288000170";"ASSOCIACAO ESTADUAL DE COOPERACAO AGRICOLA -MA";"518008";"PRESIDENCIA DA REPUBLICA";"INSCRICAO POR DECISAO DO T.C.U."
"84541689000151";"FUNDACAO BOAS NOVAS";"518975";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"INSCRICAO POR DECISAO DO T.C.U."
"84541689000151";"FUNDACAO BOAS NOVAS";"518974";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"INSCRICAO POR DECISAO DO T.C.U."
"03475780000114";"INSTITUTO DE PESQUISA MATOGROSSENSE-IPEM";"479018";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"11390457000176";"COOP ESCOLA ALUNOS ESCOLA AGROTECNICA FED BARREIROS LTD";"638485";"PRESIDENCIA DA REPUBLICA";"TEVE A PRESTACAO DE CONTAS IMPUGNADA"
"06169299000199";"FEDERACAO DOS TRABALHADORES E TRABALHADORAS NA AGRICULTURA DO ESTADO DO AMAPA";"643703";"PRESIDENCIA DA REPUBLICA";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"00888242000163";"ASS COM DOS PROD RURAIS RIO VERDE E LAGOA DE SAO JOAO";"317914";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"05005694000173";"CENTRO CULTURAL INTERNACIONAL - INTERCULT - BSB";"637469";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
