Data da Publicação;Id do Relatório;Nº da OS;DescUnidadeExaminada;codOrgaoSiafi;Órgão;TituloResumido;Estado;Município;Ciclo Programa FEF;Título do Relatório;Situação do Relatório;Linha de Atuação
2018/05/30 10:05:20.000000000;11270;201702231;FUNDO MUNICIPAL DE SAUDE DE PORTO ALEGRE;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;RS;Porto Alegre;;Relatório nº 201702231 - Fundo Municipal de Saúde de Porto Alegre/RS - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 10:05:12.000000000;11273;201800071;FUNDO MUNICIPAL DE SAUDE - FMS;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;SP;São Paulo;;Relatório nº 201800071 - Fundo Municipal de Saúde - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 10:05:10.000000000;11269;201702454;FUNDO MUNICIPAL DE SAUDE DE CAXIAS DO SUL;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;RS;Caxias do Sul;;Relatório nº 201702454 - Fundo Municipal de Saúde de Caxias do Sul/RS - Piso de Atenção Básica Variável - Saúde da Família;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:50.000000000;11046;201503150;MINISTERIO DA PESCA E AQUICULTURA;58000;MINISTERIO DA PESCA E AQUICULTURA;MPA;PI;Uruçuí;;Relatório n° 201503150 - AEPG - RGP - Registro Geral da Atividade Pesqueira;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:49.000000000;11084;201408477;MUNICIPIO DE JOINVILLE;42000;MINISTERIO DA CULTURA;MINC;SC;Joinville;;Relatório nº 201408477 - PM de Joinville/SC - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:46.000000000;11065;201409345;FUNSAUDE;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;BA;Nova Soure;;RDE nº 201409345 - Piso de Atenção Básica Variável - Saúde da Família;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 09:05:45.000000000;11056;201700214;SECRETARIA DE POLITICA AGRICOLA;22000;MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO;MIN.AGRICULTURA;GO;Palmeiras de Goiás;;Relatório n° 201700214 - Subvenção ao Prêmio do Seguro Rural.;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:44.000000000;11051;201503075;MINISTERIO DA PESCA E AQUICULTURA;58000;MINISTERIO DA PESCA E AQUICULTURA;MPA;MA;Urbano Santos;;Relatório n° 201503075 - AEPG - RGP - Registro Geral da Atividade Pesqueira;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:34.000000000;11054;201503145;MINISTERIO DA PESCA E AQUICULTURA;58000;MINISTERIO DA PESCA E AQUICULTURA;MPA;PA;Bragança;;Relatório n° 201503145 - AEPG - RGP - Registro Geral da Atividade Pesqueira;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:30.000000000;11030;201505128;SECRET. NAC. SANEAM. AMBIENTAL M.CIDADES;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;SP;São Bernardo do Campo;;Relatório nº 201505128 - Secretaria Nacional de Saneamento Ambiental - AEPG Drenagem Urbana;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:27.000000000;11106;201700004;MUNICIPIO DE SAO LOURENCO DA MATA;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;PE;São Lourenço da Mata;;Relatório nº 201700004 - Apoio à Alimentação Escolar na Educação Básica (Pnae);Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:23.000000000;11063;201702014;BENEFICENCIA SOCIAL BOM SAMARITANO;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;MG;Governador Valadares;;RDE nº 201702014 - Estruturação de Unidades de Atenção Especializada em Saúde - Unidades Hospitalares - Contrato de Repasse - Emenda;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 09:05:21.000000000;11057;201700215;SECRETARIA DE POLITICA AGRICOLA;22000;MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO;MIN.AGRICULTURA;GO;Morrinhos;;Relatório n° 201700215 - Subvenção ao Prêmio do Seguro Rural.;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:21.000000000;11047;201503154;MINISTERIO DA PESCA E AQUICULTURA;58000;MINISTERIO DA PESCA E AQUICULTURA;MPA;TO;Araguaína;;Relatório n° 201503154 - AEPG - RGP - Registro Geral da Atividade Pesqueira;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:19.000000000;11220;201408944;NOVA SOURE PREFEITURA GABINETE DO PREFEITO;54000;MINISTERIO DO TURISMO;MINIST. DO TURISMO;BA;Nova Soure;;RDE nº 201408944 - Prefeitura de Nova Soure/BA - Urbanização e Sinalização;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 09:05:16.000000000;11225;201408247;CORRENTINA PREFEITURA GABINETE DO PREFEITO;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;BA;Correntina;;RDE nº 201408247 -  Programa Nacional de Apoio ao Transporte do Escolar - Pnate;Publicado;Apuração de Representações e Demandas Sociais
