Numero Processo;Tipo do processo;Assunto;Pasta;Entidade;Estado;Cidade;Data de instauracao;Fase atual;Data da fase atual;Investigados;Quantidade de sancoes que impedem contratacao;Outras;Multas
00190004173201500;PAR - Administração Nacional;Comportamento inidôneo;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/04/01 00:00:00.000000000;Decisão Reconsideração;2017/04/17 00:00:00.000000000;1;1;;
00190004173201500;PAR - Administração Nacional;Financiamento/custeio/patrocínio/subvenção de ato ilícito previsto na Lei Anticorrrupção (Lei nº 12.846/2013);Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/04/01 00:00:00.000000000;Decisão Reconsideração;2017/04/17 00:00:00.000000000;1;1;;
00190004173201500;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/04/01 00:00:00.000000000;Decisão Reconsideração;2017/04/17 00:00:00.000000000;1;1;;
00190004173201500;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2015/04/01 00:00:00.000000000;Decisão Reconsideração;2017/04/17 00:00:00.000000000;1;1;;
00190004150201597;PAR - Administração Nacional;Comportamento inidôneo;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2015/03/11 00:00:00.000000000;Decisão Reconsideração;2017/04/24 00:00:00.000000000;1;1;;
00190004150201597;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2015/03/11 00:00:00.000000000;Decisão Reconsideração;2017/04/24 00:00:00.000000000;1;1;;
00190004150201597;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2015/03/11 00:00:00.000000000;Decisão Reconsideração;2017/04/24 00:00:00.000000000;1;1;;
00190025831201416;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025831201416;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025831201416;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025831201416;PAR - Administração Nacional;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025826201403;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025826201403;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025826201403;PAR - Administração Nacional;Pagamento de vantagem indevida ou seu oferecimento, direto ou indireto, a agente público nacional ou a terceiro relacionado;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025826201403;PAR - Administração Nacional;Utilização dissimulada de interposta pessoa para a obtenção de vantagem indevida junto à administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;ANGRA DOS REIS;2014/12/03 00:00:00.000000000;Instauração/Instrução;2014/12/03 00:00:00.000000000;1;;;
00190025831201416;PAR - Administração Nacional;Fraude em contrato administrativo celebrado com a administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Julgado;2016/09/02 00:00:00.000000000;1;1;;
00190025831201416;PAR - Administração Nacional;Fraude em procedimento licitatório da administração pública nacional.;Ministério de Minas e Energia;Petróleo Brasileiro S.A.;RJ;RIO DE JANEIRO;2014/12/03 00:00:00.000000000;Julgado;2016/09/02 00:00:00.000000000;1;1;;
